il,ilce_id,ilce,mahalle_id,mahalle
Adana,104,Aladağ,207911,Akören
Adana,104,Aladağ,45478,Akpinar
Adana,104,Aladağ,46144,Başpinar
Adana,104,Aladağ,46219,Boztahta
Adana,104,Aladağ,46017,Büyüksofulu
Adana,104,Aladağ,46419,Ceritler
Adana,104,Aladağ,143186,Civanbey
Adana,104,Aladağ,144736,Dailer
Adana,104,Aladağ,46213,Darilik
Adana,104,Aladağ,45347,Dölekli
Adana,104,Aladağ,45795,Dünyadibi
Adana,104,Aladağ,141503,Ebrişim
Adana,104,Aladağ,46208,Eğner
Adana,104,Aladağ,45383,Gerdibi
Adana,104,Aladağ,145098,Gireğiyeniköy
Adana,104,Aladağ,143144,Gökçeköy
Adana,104,Aladağ,46214,Kabasakal
Adana,104,Aladağ,46270,Karahan
Adana,104,Aladağ,45264,Kicak
Adana,104,Aladağ,45340,Kişlak
Adana,104,Aladağ,46249,Kizildam
Adana,104,Aladağ,45861,Kökez
Adana,104,Aladağ,143817,Köprücük
Adana,104,Aladağ,46357,Küp
Adana,104,Aladağ,206536,Madenli
Adana,104,Aladağ,46027,Mansurlu
Adana,104,Aladağ,45170,Mazilik
Adana,104,Aladağ,207912,Posyağbasan
Adana,104,Aladağ,46016,Sinanpaşa
Adana,104,Aladağ,46150,Topalli
Adana,104,Aladağ,46032,Uzunkuyu
Adana,104,Aladağ,143359,Yenimahalle
Adana,104,Aladağ,45464,Yetimli
Adana,104,Aladağ,45892,Yüksekören
Adana,105,Ceyhan,128623,Ağaçli
Adana,105,Ceyhan,128620,Ağaçpinar
Adana,105,Ceyhan,128624,Akdam
Adana,105,Ceyhan,128660,Altigözbekirli
Adana,105,Ceyhan,128599,Altikara
Adana,105,Ceyhan,204931,Aydinlar
Adana,105,Ceyhan,128591,Aytemiroğlu
Adana,105,Ceyhan,128634,Azizli
Adana,105,Ceyhan,128621,Bahriye
Adana,105,Ceyhan,128666,Başören
Adana,105,Ceyhan,128585,Bota
Adana,105,Ceyhan,128587,Burhaniye
Adana,105,Ceyhan,128635,Burhanli
Adana,105,Ceyhan,128600,Büyük Burhaniye
Adana,105,Ceyhan,128601,Büyük Mangit
Adana,105,Ceyhan,128588,Büyükkirim
Adana,105,Ceyhan,128602,Çakaldere
Adana,105,Ceyhan,128625,Camuzağili
Adana,105,Ceyhan,128637,Çatakli
Adana,105,Ceyhan,128626,Çatalhüyük
Adana,105,Ceyhan,128614,Çerkezkaramezar
Adana,105,Ceyhan,128657,Çevretepe
Adana,105,Ceyhan,128603,Çiçekli
Adana,105,Ceyhan,128604,Çiftlikler
Adana,105,Ceyhan,128662,Cihanbekirli
Adana,105,Ceyhan,128598,Civantayak
Adana,105,Ceyhan,128605,Çokçapinar
Adana,105,Ceyhan,128630,Çukurovaharasi
Adana,105,Ceyhan,128606,Değirmendere
Adana,105,Ceyhan,128636,Değirmenli
Adana,105,Ceyhan,128661,Dikilitaş
Adana,105,Ceyhan,128644,Dokuztekne
Adana,105,Ceyhan,128652,Doruk
Adana,105,Ceyhan,128658,Durhasandede
Adana,105,Ceyhan,128643,Dutlupinar
Adana,105,Ceyhan,128607,Erenler
Adana,105,Ceyhan,128596,Gaziosmanpaşa
Adana,105,Ceyhan,128668,Gümürdülü
Adana,105,Ceyhan,128656,Gündoğan
Adana,105,Ceyhan,128590,Haciibrahim
Adana,105,Ceyhan,128645,Hamdilli
Adana,105,Ceyhan,128641,Hamidiye
Adana,105,Ceyhan,128611,Hamitbey
Adana,105,Ceyhan,128609,Hamitbey Bucaği
Adana,105,Ceyhan,128597,Hürriyet
Adana,105,Ceyhan,128647,Imran
Adana,105,Ceyhan,205085,Inceyer
Adana,105,Ceyhan,128655,Isali
Adana,105,Ceyhan,128669,Isirganli
Adana,105,Ceyhan,206904,Karakayali
Adana,105,Ceyhan,128654,Kiliçkaya
Adana,105,Ceyhan,128670,Kivrikli
Adana,105,Ceyhan,128612,Kizildere
Adana,105,Ceyhan,128592,Konakoğlu
Adana,105,Ceyhan,128613,Köprülü
Adana,105,Ceyhan,128649,Körkuyu
Adana,105,Ceyhan,128659,Kösreli
Adana,105,Ceyhan,128589,Küçükkirim
Adana,105,Ceyhan,128627,Küçükmangit
Adana,105,Ceyhan,128648,Kurtkulaği
Adana,105,Ceyhan,128651,Kurtpinar
Adana,105,Ceyhan,205098,Kuzucak
Adana,105,Ceyhan,128663,Mahmudiye
Adana,105,Ceyhan,128632,Mercimek
Adana,105,Ceyhan,128610,Mercin
Adana,105,Ceyhan,128595,Mithatpaşa
Adana,105,Ceyhan,128586,Muradiye
Adana,105,Ceyhan,128650,Narlik
Adana,105,Ceyhan,128664,Naşidiye
Adana,105,Ceyhan,128617,Nazimbey Yeniköy
Adana,105,Ceyhan,128633,Rifatiye
Adana,105,Ceyhan,128674,Rumeli Şükriye
Adana,105,Ceyhan,128638,Sadiye Karamezar
Adana,105,Ceyhan,128665,Sağkaya
Adana,105,Ceyhan,128628,Saribahçe
Adana,105,Ceyhan,128640,Sarimazi
Adana,105,Ceyhan,128642,Selimiye
Adana,105,Ceyhan,128619,Siddikiye
Adana,105,Ceyhan,128615,Sirkeli
Adana,105,Ceyhan,205146,Soğukpinar
Adana,105,Ceyhan,128671,Soysalli
Adana,105,Ceyhan,128639,Tatarli
Adana,105,Ceyhan,128672,Tatlikuyu
Adana,105,Ceyhan,128616,Toktamiş
Adana,105,Ceyhan,128667,Tumlu
Adana,105,Ceyhan,128673,Türk Şükriye
Adana,105,Ceyhan,128594,Türlübaş
Adana,105,Ceyhan,128629,Üçdutyeşilova
Adana,105,Ceyhan,205140,Veysiye
Adana,105,Ceyhan,128622,Yalak
